"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"02-JAN-2012","IFCI","IFCI Ltd.","ADROIT SHARE & STOCK BROKER PVT. LTD.","SELL","66,08,755","21.66","-"
"02-JAN-2012","IFCI","IFCI Ltd.","ADROIT SHARE & STOCK BROKER PVT. LTD.","BUY","66,96,755","21.49","-"
"02-JAN-2012","IFCI","IFCI Ltd.","ARUMUGASAMY O","SELL","58,14,296","20.57","-"
"02-JAN-2012","IFCI","IFCI Ltd.","SYKES & RAY EQUITIES (I) LTD.","SELL","27,59,020","21.80","-"
"02-JAN-2012","IFCI","IFCI Ltd.","SYKES & RAY EQUITIES (I) LTD.","BUY","51,99,020","21.32","-"
"02-JAN-2012","LML","LML Ltd.","SARASWATI TRADING COMPANY LIMITED","SELL","4,45,540","7.78","-"
"02-JAN-2012","PRITHVI","Prithvi Information Solut","INDUSTRIAL DEVELOPMENT BANK OF INDIA","SELL","1,05,000","11.09","-"
"03-JAN-2012","ATLASCYCLE","Atlas Cycles (Haryana) Lt","CROSSEAS CAPITAL SERVICES PVT. LTD.","BUY","17,105","294.29","-"
"03-JAN-2012","ATLASCYCLE","Atlas Cycles (Haryana) Lt","CROSSEAS CAPITAL SERVICES PVT. LTD.","SELL","17,105","294.20","-"
"03-JAN-2012","ATLASCYCLE","Atlas Cycles (Haryana) Lt","URMILA DOSHI","BUY","41,779","292.76","-"
"03-JAN-2012","ATLASCYCLE","Atlas Cycles (Haryana) Lt","URMILA DOSHI","SELL","41,779","295.47","-"
"03-JAN-2012","AUTOIND","Autoline Industries Limit","HORIZON REAL CONSTRUCTION PVT. LTD.","SELL","65,000","102.95","-"
"03-JAN-2012","GSS","GSS Infotech Limited","ASHWIN STOCKS AND INVESTMENT PRIVATE LIMITED","SELL","29,018","41.99","-"
"03-JAN-2012","GSS","GSS Infotech Limited","ASHWIN STOCKS AND INVESTMENT PRIVATE LIMITED","BUY","74,018","42.47","-"
"03-JAN-2012","GSS","GSS Infotech Limited","BP FINTRADE PRIVATE LIMITED","SELL","95,441","41.81","-"
"03-JAN-2012","GSS","GSS Infotech Limited","BP FINTRADE PRIVATE LIMITED","BUY","1,02,163","40.95","-"
"03-JAN-2012","GSS","GSS Infotech Limited","Bharat Patel","BUY","3,85,385","39.45","-"
"03-JAN-2012","GSS","GSS Infotech Limited","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD","SELL","4,50,000","40.38","-"
"03-JAN-2012","GSS","GSS Infotech Limited","RELIGARE FINVEST LTD","SELL","73,437","38.73","-"
"03-JAN-2012","PRITHVI","Prithvi Information Solut","INDUSTRIAL DEVELOPMENT BANK OF INDIA","SELL","1,18,553","11.90","-"
"03-JAN-2012","PRITHVI","Prithvi Information Solut","KARUNAKAR PAJJURI","BUY","1,18,788","11.96","-"
"03-JAN-2012","RKDL","Ravi Kumar Distilleries","UPSURGE INVESTMENT AND FINANCE LIMITED ","SELL","1,55,020","15.84","-"
"03-JAN-2012","VIKASGLOB","Vikas GlobalOne Ltd","AARTI MITTAL","SELL","58,000","154.90","-"
"03-JAN-2012","VIVIMEDLAB","Vivimed Labs Limited","SHAH NIRAJ RAJNIKANT","BUY","11,500","253.00","-"
"03-JAN-2012","VIVIMEDLAB","Vivimed Labs Limited","SHAH NIRAJ RAJNIKANT","SELL","52,000","235.09","-"
"03-JAN-2012","XPROINDIA","Xpro India Limited","RAM MURTI KUNDRA","SELL","45,221","53.13","-"
"03-JAN-2012","XPROINDIA","Xpro India Limited","RAM MURTI KUNDRA","BUY","66,622","53.23","-"
"04-JAN-2012","DREDGECORP","Dredging Corporation of I","CROSSEAS CAPITAL SERVICES PVT. LTD.","BUY","1,42,796","271.41","-"
"04-JAN-2012","DREDGECORP","Dredging Corporation of I","CROSSEAS CAPITAL SERVICES PVT. LTD.","SELL","1,42,796","271.34","-"
